Complexity,Loss,Equation
1,0.8069357,"1.6501992"
3,8.990542e-6,"0.006357543 * Udc_kV"
4,8.990538e-6,"log(1.0063778) * Udc_kV"
5,6.0997895e-6,"0.0063470122 * (0.5595132 + Udc_kV)"
7,5.6464675e-8,"(ion_pair_rate * 4.2305184e-11) + (0.0063482365 * Udc_kV)"
9,5.1941353e-8,"((ion_pair_rate * 0.0037115857) * 1.1726816e-8) + (0.0063479524 * Udc_kV)"
11,3.217508e-8,"(0.0063482365 * Udc_kV) + (((ion_pair_rate / Udc_kV) + ion_pair_rate) * 4.2305184e-11)"
12,2.0441378e-8,"(Udc_kV * 0.0063482365) + (ion_pair_rate * (exp(1.6501992 / Udc_kV) * 4.2305184e-11))"
13,1.2565159e-8,"(Udc_kV * 0.0063482365) + (ion_pair_rate * (4.2305184e-11 * exp(exp(0.99010694) / Udc_kV)))"
