Complexity,Loss,Equation
1,33243.76,"3459.6257"
4,33196.33,"3477.4285 - log(ion_pair_rate)"
5,32726.19,"(6.6808716e-5 * surface_Ez_up_max_es) - -3418.8281"
6,32485.92,"(9148.36 / log(ion_pair_rate)) - -2944.7104"
7,31148.549,"(51.335163 / (Udc_kV + -91.31522)) - -3466.72"
8,30964.72,"3475.213 - exp(Udc_kV / (Udc_kV + -74.08523))"
9,20724.65,"(surface_Er_up_max_es / ((ion_pair_rate / 2687.53) - surface_Ez_down_median_es)) - -3460.992"
11,19311.21,"((surface_Er_down_max_es / 0.050245866) / ((ion_pair_rate / 496.4697) - electric_field_r_avg_es)) - -3486.261"
13,18053.525,"(surface_Er_down_max_es / ((((ion_pair_rate / 482.21356) - electric_field_norm_avg_es) / 24.059355) - 348.10776)) - -3490.3484"
15,18037.086,"((surface_Er_down_max_es + -4416.545) / ((((ion_pair_rate / 482.21686) - electric_field_norm_avg_es) / 24.194563) - 347.98785)) - -3490.5828"
16,18004.28,"((surface_Er_down_max_es / ((((ion_pair_rate / 481.79263) - electric_field_norm_avg_es) / 24.518488) - 342.35727)) - -3476.844) + log(surface_Er_down_median_es)"
17,16310.565,"((surface_Er_down_median_es / ((((ion_pair_rate / 546.6163) - surface_Er_down_median_es) / 27.811134) - 310.92523)) - -3397.4854) - (surface_Ez_down_max_es * -0.00021199725)"
19,16297.048,"(((surface_Er_down_median_es + -3490.5828) / ((((ion_pair_rate / 546.65607) - surface_Er_down_median_es) / 27.814636) - 317.96677)) - -3397.4854) - (-0.00021199737 * surface_Ez_down_max_es)"
20,16253.172,"(((surface_Er_up_median_es / ((((ion_pair_rate / 546.65607) - surface_Er_down_median_es) / 28.461927) - 310.92523)) - -3409.18) - (-6.534627e-5 * surface_Er_up_median_es)) - log(ion_pair_rate)"
